h,bf,tw,tf,fy,T,L,di,Pi
600,300,15.5,30,440,1000,3500,0,0
600,300,15.5,30,440,1000,3500,0.2,14.72286187
600,300,15.5,30,440,1000,3500,0.4,29.4471018
600,300,15.5,30,440,1000,3500,0.6,44.17250807
600,300,15.5,30,440,1000,3500,0.8,58.89892657
600,300,15.5,30,440,1000,3500,1,73.62559323
600,300,15.5,30,440,1000,3500,1.2,88.35372123
600,300,15.5,30,440,1000,3500,1.4,103.0826955
600,300,15.5,30,440,1000,3500,1.6,117.8126955
600,300,15.5,30,440,1000,3500,1.8,132.5436697
600,300,15.5,30,440,1000,3500,2,147.2751568
600,300,15.5,30,440,1000,3500,2.2,162.0071568
600,300,15.5,30,440,1000,3500,2.4,176.7396439
600,300,15.5,30,440,1000,3500,2.6,191.4724643
600,300,15.5,30,440,1000,3500,2.8,206.2057977
600,300,15.5,30,440,1000,3500,3,220.939131
600,300,15.5,30,440,1000,3500,3.2,235.6726181
600,300,15.5,30,440,1000,3500,3.4,250.4066181
600,300,15.5,30,440,1000,3500,3.6,265.1396439
600,300,15.5,30,440,1000,3500,3.8,279.8723106
600,300,15.5,30,440,1000,3500,4,294.6049772
600,300,15.5,30,440,1000,3500,4.2,309.3342341
600,300,15.5,30,440,1000,3500,4.4,323.9229125
600,300,15.5,30,440,1000,3500,4.6,338.0469125
600,300,15.5,30,440,1000,3500,4.8,344.4360928
600,300,15.5,30,440,1000,3500,5,345.9265565
600,300,15.5,30,440,1000,3500,5.2,340.5878898
600,300,15.5,30,440,1000,3500,5.4,335.7363331
600,300,15.5,30,440,1000,3500,5.6,331.2471736
600,300,15.5,30,440,1000,3500,5.8,327.3678402
600,300,15.5,30,440,1000,3500,6,324.0223795
600,300,15.5,30,440,1000,3500,6.2,320.9810489
600,300,15.5,30,440,1000,3500,6.4,318.2977156
600,300,15.5,30,440,1000,3500,6.6,315.8438111
600,300,15.5,30,440,1000,3500,6.8,313.5269156
600,300,15.5,30,440,1000,3500,7,311.3849156
600,300,15.5,30,440,1000,3500,7.2,309.3661544
600,300,15.5,30,440,1000,3500,7.4,307.4254217
600,300,15.5,30,440,1000,3500,7.6,305.5934217
600,300,15.5,30,440,1000,3500,7.8,303.7365791
600,300,15.5,30,440,1000,3500,8,301.8061467
600,300,15.5,30,440,1000,3500,8.2,299.6608134
600,300,15.5,30,440,1000,3500,8.4,297.4959956
600,300,15.5,30,440,1000,3500,8.6,295.3199991
600,300,15.5,30,440,1000,3500,8.8,293.1306731
600,300,15.5,30,440,1000,3500,9,290.570647
600,300,15.5,30,440,1000,3500,9.2,287.8464474
600,300,15.5,30,440,1000,3500,9.4,285.0304474
600,300,15.5,30,440,1000,3500,9.6,282.257313
600,300,15.5,30,440,1000,3500,9.8,279.4184781
600,300,15.5,30,440,1000,3500,10,276.3078114
600,300,15.5,30,440,1000,3500,10.2,272.9652887
600,300,15.5,30,440,1000,3500,10.4,269.5697412
600,300,15.5,30,440,1000,3500,10.6,266.2823969
600,300,15.5,30,440,1000,3500,10.8,263.1392452
600,300,15.5,30,440,1000,3500,11,260.0172596
600,300,15.5,30,440,1000,3500,11.2,256.7885929
600,300,15.5,30,440,1000,3500,11.4,253.4089222
600,300,15.5,30,440,1000,3500,11.6,250.0037316
600,300,15.5,30,440,1000,3500,11.8,246.699076
600,300,15.5,30,440,1000,3500,12,243.5522273
600,300,15.5,30,440,1000,3500,12.2,240.5158368
600,300,15.5,30,440,1000,3500,12.4,237.6538368
600,300,15.5,30,440,1000,3500,12.6,234.9360213
600,300,15.5,30,440,1000,3500,12.8,232.2861172
600,300,15.5,30,440,1000,3500,13,229.6854406
600,300,15.5,30,440,1000,3500,13.2,227.002956
600,300,15.5,30,440,1000,3500,13.4,224.3105924
600,300,15.5,30,440,1000,3500,13.6,221.685917
600,300,15.5,30,440,1000,3500,13.8,219.1664637
600,300,15.5,30,440,1000,3500,14,216.717475
600,300,15.5,30,440,1000,3500,14.2,214.3741417
600,300,15.5,30,440,1000,3500,14.4,212.126769
600,300,15.5,30,440,1000,3500,14.6,209.9421429
600,300,15.5,30,440,1000,3500,14.8,207.8488165
600,300,15.5,30,440,1000,3500,15,205.817
600,300,15.5,30,440,20,4000,0,0
600,300,15.5,30,440,20,4000,0.2,285.9553556
600,300,15.5,30,440,20,4000,0.4,571.91952
600,300,15.5,30,440,20,4000,0.6,857.8923631
600,300,15.5,30,440,20,4000,0.8,1143.870346
600,300,15.5,30,440,20,4000,1,1429.853679
600,300,15.5,30,440,20,4000,1.2,1715.839448
600,300,15.5,30,440,20,4000,1.4,2001.825499
600,300,15.5,30,440,20,4000,1.6,2287.809499
600,300,15.5,30,440,20,4000,1.8,2573.788141
600,300,15.5,30,440,20,4000,2,2859.761271
600,300,15.5,30,440,20,4000,2.2,3145.722604
600,300,15.5,30,440,20,4000,2.4,3431.667376
600,300,15.5,30,440,20,4000,2.6,3717.598815
600,300,15.5,30,440,20,4000,2.8,4003.506148
600,300,15.5,30,440,20,4000,3,4289.38182
600,300,15.5,30,440,20,4000,3.2,4575.233056
600,300,15.5,30,440,20,4000,3.4,4861.041723
600,300,15.5,30,440,20,4000,3.6,5146.799243
600,300,15.5,30,440,20,4000,3.8,5432.517303
600,300,15.5,30,440,20,4000,4,5718.166637
600,300,15.5,30,440,20,4000,4.2,6003.735597
600,300,15.5,30,440,20,4000,4.4,6289.243406
600,300,15.5,30,440,20,4000,4.6,6574.646073
600,300,15.5,30,440,20,4000,4.8,6859.926475
600,300,15.5,30,440,20,4000,5,7145.114137
600,300,15.5,30,440,20,4000,5.2,7430.142804
600,300,15.5,30,440,20,4000,5.4,7714.985882
600,300,15.5,30,440,20,4000,5.6,7999.688427
600,300,15.5,30,440,20,4000,5.8,8284.150427
600,300,15.5,30,440,20,4000,6,8568.328442
600,300,15.5,30,440,20,4000,6.2,8852.291056
600,300,15.5,30,440,20,4000,6.4,9135.88439
600,300,15.5,30,440,20,4000,6.6,9419.036401
600,300,15.5,30,440,20,4000,6.8,9693.180654
600,300,15.5,30,440,20,4000,7,9937.823988
600,300,15.5,30,440,20,4000,7.2,9474.179746
600,300,15.5,30,440,20,4000,7.4,9101.410566
600,300,15.5,30,440,20,4000,7.6,8879.994375
600,300,15.5,30,440,20,4000,7.8,8706.01235
600,300,15.5,30,440,20,4000,8,8565.986065
600,300,15.5,30,440,20,4000,8.2,8431.656684
600,300,15.5,30,440,20,4000,8.4,8301.620684
600,300,15.5,30,440,20,4000,8.6,8173.179996
600,300,15.5,30,440,20,4000,8.8,8031.447184
600,300,15.5,30,440,20,4000,9,7872.216653
600,300,15.5,30,440,20,4000,9.2,7691.986304
600,300,15.5,30,440,20,4000,9.4,7512.500121
600,300,15.5,30,440,20,4000,9.6,7335.928788
600,300,15.5,30,440,20,4000,9.8,7162.75147
600,300,15.5,30,440,20,4000,10,6994.700091
600,300,15.5,30,440,20,4000,10.2,6833.025297
600,300,15.5,30,440,20,4000,10.4,6672.022446
600,300,15.5,30,440,20,4000,10.6,6518.896517
600,300,15.5,30,440,20,4000,10.8,6375.98985
600,300,15.5,30,440,20,4000,11,6245.114134
